age,n,alcoholfrequency,marijuanafrequency,cocainefrequency,crackfrequency,heroinfrequency,hallucinogenfrequency,inhalantfrequency,painreleiverfrequency,oxycontinfrequency,tranquilizerfrequency,stimulantfrequency,methfrequency,sedativefrequency
12,2798,3,4,5,-,35.5,52,19,36,24.5,52,2,-,13
13,2757,6,15,1,3,-,6,12,14,41,25.5,4,5,19
14,2792,5,24,5.5,-,2,3,5,12,4.5,5,12,24,16.5
15,2956,6,25,4,9.5,1,4,5.5,10,3,4.5,6,10.5,30
16,3058,10,30,7,1,66.5,3,3,7,4,11,9.5,36,3
17,3038,13,36,5,21,64,3,4,9,6,7,9,48,6.5
18,2469,24,52,5,10,46,4,4,12,7,12,8,12,10
19,2223,36,60,5.5,2,180,3,3,12,7.5,4.5,6,105,6
20,2271,48,60,8,5,45,2,4,10,12,10,12,12,4
21,2354,52,52,5,17,30,4,2,15,13.5,7,10,2,9
22-23,4707,52,52,5,5,57.5,3,4,15,17.5,12,10,46,52
24-25,4591,52,60,6,6,88,2,2,15,20,10,10,21,17.5
26-29,2628,52,52,5,6,50,3,4,13,13.5,10,7,30,4
30-34,2864,52,72,8,15,66,2,3.5,22,46,8,12,54,10
35-49,7391,52,48,15,48,280,3,10,12,12,6,24,104,10
50-64,3923,52,52,36,62,41,44,13.5,12,5,10,24,30,104
65+,2448,52,36,-,-,120,2,-,24,-,5,364,-,15
