Category: All categories,,,
,,,
Region,burger: (1/1/13 - 1/1/18),seafood: (1/1/13 - 1/1/18),steak: (1/1/13 - 1/1/18)
Alabama,45,33,56
Alaska,37,23,40
Arizona,57,12,39
Arkansas,43,11,39
California,58,20,34
Colorado,53,11,45
Connecticut,47,23,36
Delaware,37,43,48
District of Columbia,53,44,48
Florida,50,41,49
Georgia,52,41,51
Hawaii,50,34,50
Idaho,37,7,36
Illinois,50,15,56
Indiana,45,10,58
Iowa,45,7,40
Kansas,39,9,40
Kentucky,42,14,48
Louisiana,54,100,43
Maine,33,33,37
Maryland,40,47,40
Massachusetts,46,37,39
Michigan,52,12,47
Minnesota,42,10,38
Mississippi,47,47,48
Missouri,42,12,58
Montana,36,7,49
Nebraska,49,7,46
Nevada,72,22,52
New Hampshire,33,26,38
New Jersey,45,24,38
New Mexico,45,9,34
New York,57,19,40
North Carolina,46,36,43
North Dakota,35,8,44
Ohio,44,11,56
Oklahoma,44,16,48
Oregon,39,15,29
Pennsylvania,39,22,45
Rhode Island,51,35,39
South Carolina,43,55,46
South Dakota,41,6,47
Tennessee,51,17,52
Texas,55,30,42
Utah,56,7,33
Vermont,32,16,36
Virginia,36,27,37
Washington,48,21,40
West Virginia,34,11,45
Wisconsin,40,9,42
Wyoming,35,6,46
