Category: All categories

Region,burger: (1/1/04 - 2/15/18)
Nevada,100
California,83
Texas,82
Arizona,81
Georgia,77
New York,77
Louisiana,77
Colorado,76
Utah,76
Illinois,76
Tennessee,75
Mississippi,74
Hawaii,74
Florida,74
Rhode Island,72
Nebraska,71
District of Columbia,71
Michigan,70
Washington,70
New Mexico,69
Indiana,68
Alabama,67
Ohio,66
Arkansas,66
Iowa,66
South Carolina,65
Connecticut,65
New Jersey,65
North Carolina,64
Maryland,64
Kentucky,63
Oklahoma,63
Massachusetts,62
Minnesota,61
Kansas,60
Missouri,60
Oregon,59
Pennsylvania,57
Wisconsin,57
South Dakota,56
North Dakota,54
Delaware,54
Idaho,54
Alaska,53
Montana,53
West Virginia,53
Wyoming,52
Virginia,52
New Hampshire,49
Maine,47
Vermont,45
