Category: All categories

Region,seafood: (1/1/04 - 2/15/18)
Louisiana,100
South Carolina,56
Maryland,50
District of Columbia,46
Delaware,46
Mississippi,45
Florida,43
Georgia,40
Massachusetts,40
Rhode Island,39
North Carolina,37
Hawaii,34
Maine,33
Alabama,33
Texas,31
New Hampshire,28
Virginia,27
New Jersey,26
Alaska,26
Pennsylvania,25
Nevada,24
Connecticut,24
Washington,23
California,21
New York,20
Tennessee,18
Vermont,17
Oregon,17
Oklahoma,16
Illinois,16
Kentucky,15
Michigan,14
Arkansas,13
Arizona,13
Missouri,13
West Virginia,12
Ohio,12
Colorado,12
Minnesota,12
Wisconsin,11
Indiana,11
New Mexico,10
Kansas,10
Montana,9
Nebraska,9
Idaho,8
Iowa,8
North Dakota,8
Utah,8
Wyoming,7
South Dakota,7
