Category: All categories

Region,steak: (1/1/04 - 2/15/18)
Indiana,100
Missouri,97
Alabama,97
Illinois,96
Ohio,95
Nevada,86
Georgia,85
Tennessee,83
Florida,83
Oklahoma,83
Delaware,82
Montana,81
South Dakota,80
Hawaii,80
Mississippi,80
South Carolina,79
District of Columbia,79
Nebraska,79
Kentucky,79
Michigan,76
Pennsylvania,76
Colorado,76
Louisiana,75
West Virginia,75
Wyoming,73
New York,73
North Dakota,72
Texas,71
Wisconsin,71
Kansas,71
North Carolina,70
Arkansas,68
Massachusetts,68
New Hampshire,68
Maryland,68
Washington,68
Rhode Island,66
Vermont,65
Connecticut,65
Arizona,65
Minnesota,64
Alaska,64
Iowa,64
Idaho,63
New Jersey,63
Maine,61
New Mexico,60
Virginia,59
Utah,56
California,55
Oregon,51
